Player,GP,MIN,PTS,REB,AST,STL,BLK,TOV,OREB,DREB,PF,+/-,eFG%,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,GmSc,TS%,3PAr,FTr,AST'd%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PER,ORtg,DRtg,NRtg,OBPM,DBPM,BPM,OWS,DWS,WS,WS/40,WS/82,VORP,VORP/82
Jaxon Kohler,3,16.9,10.7,12.8,2.8,1.4,0.7,0.7,3.6,9.2,2.1,,62.5,5.0,8.5,0.7,1.4,0.0,0.7,58.3,50.0,0.0,14.0,60.3,0.167,0.083,100.0,11.9,22.5,17.2,9.0,1.9,1.9,6.5,11.2,19.1,148.7,104.2,44.5,3.3,2.9,6.2,0.1,0.1,0.2,0.14,4.3,0.1,2.5
Alex Karaban,4,24.2,10.4,6.3,1.1,0.7,0.4,2.6,3.0,3.3,1.9,,43.3,3.7,11.1,2.2,5.9,0.4,0.4,33.3,37.5,100.0,5.6,46.0,0.533,0.033,80.0,8.3,10.8,7.6,4.6,1.0,1.1,18.7,14.3,6.5,85.9,127.3,-41.4,-5.5,-3.3,-8.8,-0.1,-0.1,-0.2,-0.07,-4.5,-0.2,-4.1
Tre Carroll,2,10.4,10.4,13.8,1.7,0.0,0.0,3.5,5.2,8.7,5.2,,50.0,5.2,10.4,0.0,1.7,0.0,0.0,50.0,0.0,,7.1,50.0,0.167,0.0,33.3,15.5,24.3,15.3,6.8,0.0,0.0,25.0,12.8,10.7,96.5,120.1,-23.6,-5.4,-0.3,-5.8,-0.0,0.0,-0.0,-0.02,-0.2,-0.0,-0.5
Chauncey Wiggins,2,5.2,10.4,13.8,3.5,0.0,0.0,0.0,6.9,6.9,0.0,,50.0,3.5,10.4,3.5,6.9,0.0,0.0,33.3,50.0,,13.8,50.0,0.667,0.0,100.0,18.0,19.5,18.2,15.2,0.0,0.0,0.0,11.8,18.1,140.7,106.2,34.6,4.8,-1.9,3.0,0.0,0.0,0.0,0.15,0.9,0.0,0.3
Sergio de Larrea,4,28.4,10.2,6.0,11.1,1.3,1.3,3.8,1.6,4.4,3.5,,33.3,2.9,10.5,1.3,6.3,2.2,2.5,27.3,20.0,87.5,11.0,43.8,0.606,0.242,77.8,5.1,13.4,7.6,45.8,1.8,3.2,24.7,18.2,12.8,100.1,115.3,-15.2,4.6,-0.7,3.9,-0.0,0.1,0.0,0.01,0.6,0.2,4.2
Robert McCray V,3,7.6,9.5,3.2,1.6,0.0,1.6,1.6,1.6,1.6,3.2,,25.0,3.2,18.9,3.2,11.1,0.0,1.6,16.7,28.6,0.0,-2.2,24.1,0.583,0.083,100.0,4.8,5.2,4.0,9.2,0.0,4.9,7.2,25.0,-4.8,34.2,126.0,-91.8,-12.9,-5.1,-18.0,-0.2,-0.0,-0.2,-0.31,-5.1,-0.1,-3.2
Braden Smith,4,27.6,9.5,6.2,8.5,2.3,0.0,3.6,1.0,5.2,4.2,,33.3,2.3,8.8,1.3,4.6,2.3,2.9,25.9,28.6,77.8,9.1,46.8,0.519,0.333,42.9,3.0,14.8,7.0,35.6,3.1,0.0,26.2,15.5,10.5,95.6,118.1,-22.5,1.7,0.7,2.3,-0.1,0.0,-0.0,-0.02,-1.1,0.1,3.0
Otega Oweh,2,23.6,9.2,6.9,2.3,3.1,0.8,3.1,2.3,4.6,4.6,,28.6,3.1,10.7,0.0,1.5,1.5,2.3,28.6,0.0,66.7,5.9,39.2,0.143,0.214,50.0,5.9,14.0,7.8,11.0,4.2,2.1,20.7,18.3,6.6,65.7,117.3,-51.5,-8.8,2.2,-6.6,-0.1,0.0,-0.1,-0.11,-4.3,-0.1,-1.8
Chase Ross,4,9.8,9.1,6.4,3.7,3.7,0.9,1.8,0.9,5.5,1.8,,44.4,3.7,8.2,0.0,1.8,0.9,0.9,44.4,0.0,100.0,11.4,53.0,0.222,0.111,50.0,2.8,18.0,6.9,17.7,5.3,2.6,18.3,13.7,14.8,107.1,102.4,4.7,0.3,4.8,5.0,-0.0,0.1,0.0,0.05,0.8,0.1,1.0
William Kyle III,6,13.0,8.3,8.3,1.8,1.8,1.4,2.3,4.1,4.1,4.6,,77.8,3.2,4.1,0.0,0.0,0.9,4.1,77.8,,22.2,9.5,69.4,0.0,1.0,42.9,13.1,13.3,9.9,6.4,2.7,4.0,27.8,11.4,13.8,109.1,110.4,-1.3,-2.2,0.5,-1.7,0.0,0.1,0.1,0.05,1.3,0.0,0.1
