Player,GP,MIN,PTS,REB,AST,STL,BLK,TOV,OREB,DREB,PF,+/-,eFG%,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,GmSc,TS%,3PAr,FTr,AST'd%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PER,ORtg,DRtg,NRtg,OBPM,DBPM,BPM,OWS,DWS,WS,WS/40,WS/82,VORP,VORP/82
Labaron Philon,4,31.9,20.8,3.9,6.5,1.7,0.3,2.8,0.8,3.1,1.1,,43.4,8.2,21.4,2.3,8.7,1.4,2.3,38.2,25.8,62.5,13.5,46.5,0.408,0.105,20.7,2.2,11.1,5.2,31.2,2.4,0.8,11.2,26.4,15.9,103.0,118.8,-15.8,1.5,-1.8,-0.3,0.0,0.0,0.0,0.01,0.7,0.1,1.3
Roddy Gayle,3,11.6,20.7,7.3,2.1,1.0,1.0,1.0,1.0,6.2,5.2,,100.0,8.3,10.4,4.1,5.2,0.0,0.0,80.0,80.0,,19.5,100.0,0.5,0.0,50.0,3.1,18.3,8.6,11.5,1.4,2.7,9.1,12.3,27.6,175.1,118.9,56.2,12.6,0.2,12.8,0.1,0.0,0.1,0.16,3.5,0.1,3.2
Rienk Mast,3,28.8,20.4,12.5,2.5,0.4,0.4,2.1,6.7,5.8,1.7,,55.3,7.5,15.9,2.5,8.3,1.7,2.5,47.4,30.0,66.7,18.1,60.3,0.526,0.158,61.1,20.7,16.5,14.7,13.9,0.6,0.9,11.0,20.7,21.8,121.4,123.0,-1.6,2.5,-1.7,0.7,0.2,-0.0,0.1,0.07,3.7,0.1,1.5
Malik Dia,4,17.2,20.4,10.5,0.5,1.6,1.6,1.6,2.1,8.4,4.2,,44.4,7.3,18.9,2.1,5.8,2.1,3.1,38.9,36.4,66.7,13.5,50.5,0.306,0.167,64.3,5.5,23.2,12.4,2.4,2.1,4.2,7.2,25.0,15.9,93.7,103.8,-10.0,-2.9,3.2,0.3,-0.1,0.1,0.0,0.02,1.0,0.0,1.0
Keba Keita,3,12.7,19.8,7.6,0.9,0.0,3.8,1.9,1.9,5.7,3.8,,60.0,8.5,14.2,0.0,0.0,1.9,2.8,60.0,,66.7,15.9,64.3,0.0,0.2,77.8,5.9,16.0,8.8,6.4,0.0,8.6,10.9,19.1,19.8,112.6,120.6,-8.1,1.6,0.0,1.7,0.0,-0.0,0.0,0.03,0.8,0.0,0.9
Ja'Kobi Gillespie,7,26.6,19.7,3.9,6.8,2.5,0.6,3.5,2.1,1.7,3.5,,44.7,7.4,19.9,3.1,9.1,1.4,1.7,36.9,34.0,77.8,13.4,47.7,0.456,0.087,42.1,5.8,5.4,4.5,36.1,3.5,1.6,14.1,25.9,16.9,101.8,106.4,-4.5,1.5,-1.4,0.1,0.0,0.2,0.2,0.05,3.2,0.1,1.4
Fletcher Loyer,4,12.8,19.6,2.8,2.1,0.7,0.0,1.4,0.7,2.1,1.4,,52.8,5.6,12.6,2.1,7.0,3.5,3.5,44.4,30.0,100.0,14.4,69.3,0.556,0.278,87.5,2.1,6.5,4.3,9.3,1.0,0.0,9.0,18.1,14.6,120.4,120.0,0.4,4.1,-4.7,-0.6,0.1,0.0,0.1,0.06,1.8,0.0,0.5
Keaton Wagler,3,28.1,19.6,3.8,3.8,0.4,0.0,2.1,0.9,3.0,6.8,,42.1,5.6,16.2,2.6,7.3,3.4,4.3,34.2,35.3,80.0,9.9,54.2,0.447,0.263,38.5,2.5,9.3,5.0,22.7,0.6,0.0,10.5,24.1,10.2,102.4,119.4,-17.0,0.9,-4.4,-3.5,-0.0,0.0,0.0,0.0,0.1,-0.0,-0.8
Jaylin Sellers,4,28.1,19.5,3.2,3.5,1.9,1.3,2.6,0.6,2.6,4.2,,42.9,5.8,15.7,1.9,9.6,4.2,5.1,36.7,20.0,81.2,12.7,54.4,0.612,0.327,50.0,1.8,7.6,3.7,18.7,2.7,3.1,12.5,22.1,14.5,101.9,117.2,-15.3,0.3,-1.1,-0.8,-0.0,0.0,0.0,0.01,0.6,0.0,0.8
Seth Trimble,4,21.7,19.5,5.8,2.9,2.9,0.4,2.1,2.9,2.9,4.2,,50.0,5.8,12.9,1.2,5.0,3.7,4.2,45.2,25.0,90.0,17.1,66.4,0.387,0.323,57.1,8.7,8.2,7.4,12.1,4.0,1.0,12.4,18.7,19.3,118.1,117.7,0.4,2.7,0.2,2.9,0.1,0.0,0.1,0.07,3.5,0.1,2.7
Yaxel Lendeborg,6,25.8,19.3,9.3,6.3,1.9,1.2,3.5,2.3,7.0,3.7,,56.9,7.0,15.1,3.3,6.8,1.4,2.3,46.2,48.3,60.0,17.0,59.8,0.446,0.154,63.3,7.2,19.7,11.8,23.8,2.6,3.2,17.8,22.5,22.4,115.0,103.6,11.4,4.9,2.6,7.5,0.2,0.2,0.5,0.12,6.3,0.4,5.1
Trey Kaufman-Renn,4,12.2,19.1,10.3,0.7,2.2,0.0,2.2,5.2,5.2,5.9,,53.8,5.2,9.6,0.0,1.5,4.4,4.4,53.8,0.0,100.0,17.8,83.1,0.154,0.462,71.4,14.0,14.9,11.8,4.2,2.9,0.0,16.1,16.3,18.5,124.9,117.5,7.4,0.6,0.2,0.8,0.1,0.0,0.1,0.08,2.3,0.0,0.8
Bennett Stirtz,5,27.4,18.9,2.1,4.5,1.3,0.5,3.4,0.0,2.1,3.1,,52.5,7.1,15.7,2.4,7.9,1.3,1.3,45.0,30.0,100.0,11.5,57.9,0.5,0.083,40.7,0.0,6.4,2.6,21.9,1.8,1.5,17.5,22.8,13.3,96.2,128.9,-32.8,1.1,-3.2,-2.1,-0.1,-0.1,-0.2,-0.05,-2.5,0.0,0.0
Ebuka Okorie,4,30.8,18.7,3.8,5.6,3.2,0.3,3.5,0.9,2.9,3.8,,36.0,6.7,19.9,0.9,5.3,2.9,3.5,33.8,16.7,83.3,11.0,43.7,0.265,0.176,13.0,2.6,8.6,4.6,27.6,4.4,0.8,14.1,28.0,12.4,88.1,116.7,-28.6,-3.2,0.6,-2.6,-0.2,0.0,-0.2,-0.07,-5.1,-0.0,-0.5
Riley Kugel,4,6.8,18.4,2.6,1.3,0.0,1.3,1.3,1.3,1.3,0.0,,58.3,6.6,15.8,5.3,10.5,0.0,0.0,41.7,50.0,,11.8,58.3,0.667,0.0,80.0,3.9,4.1,2.9,5.9,0.0,3.5,7.7,18.9,14.8,116.6,121.1,-4.6,2.9,-5.6,-2.6,0.0,-0.0,0.0,0.04,0.7,-0.0,-0.1
Dillon Mitchell,3,26.0,18.0,6.9,1.8,3.7,1.8,2.8,5.5,1.4,2.8,,51.4,7.9,16.6,1.4,3.7,0.5,2.3,47.2,37.5,20.0,15.5,51.0,0.222,0.139,64.7,14.4,3.9,8.2,9.9,5.1,5.1,13.6,21.9,19.9,99.2,98.1,1.1,-3.1,1.3,-1.8,-0.0,0.2,0.1,0.07,3.2,0.0,0.1
Zuby Ejiofor,4,26.0,18.0,12.5,3.5,2.1,1.4,2.8,6.2,6.2,4.5,,45.5,4.2,11.4,2.1,5.9,4.5,5.5,36.4,35.3,81.2,18.4,64.9,0.515,0.485,83.3,18.0,19.0,13.5,16.0,2.9,3.6,16.4,18.5,20.9,116.0,102.8,13.3,0.8,2.4,3.2,0.1,0.2,0.3,0.11,4.2,0.1,1.9
Nate Ament,4,22.6,17.5,6.8,1.6,0.8,0.4,3.6,0.8,6.0,3.6,,58.3,6.0,11.9,2.0,6.0,2.4,2.8,50.0,33.3,85.7,10.9,66.5,0.5,0.233,60.0,2.3,18.4,9.6,7.3,1.1,1.0,21.4,19.5,12.5,100.1,123.0,-22.9,-1.4,-1.0,-2.4,-0.0,-0.0,-0.0,-0.02,-1.0,-0.0,-0.2
Nick Boyd,7,20.8,17.3,3.7,7.2,2.0,0.0,3.0,1.0,2.7,5.7,,41.5,5.5,14.6,1.2,5.5,2.7,3.2,37.3,22.7,84.6,12.4,54.1,0.373,0.22,30.0,2.9,9.0,5.0,34.6,2.9,0.0,15.5,22.7,14.1,101.1,116.1,-14.9,3.2,-1.8,1.4,-0.0,0.0,0.0,0.0,-1.3,0.1,1.4
Nate Bittle,4,20.6,17.0,11.8,3.9,1.3,4.8,4.4,3.1,8.7,5.7,,62.5,6.1,12.2,3.1,7.0,0.9,0.9,50.0,43.8,100.0,16.5,67.5,0.571,0.071,78.6,8.8,23.1,14.0,14.8,1.8,14.1,25.7,19.2,21.3,105.7,99.2,6.5,0.4,5.6,6.1,0.0,0.2,0.2,0.09,4.5,0.2,4.1
Graham Ike,7,20.6,17.0,11.2,3.2,0.7,2.0,1.5,4.2,7.0,4.5,,49.0,6.0,12.5,0.2,0.7,2.7,3.5,48.0,33.3,78.6,16.5,60.5,0.06,0.28,50.0,13.6,19.8,13.9,13.1,1.1,5.6,9.3,18.5,20.9,123.6,105.6,18.0,3.1,1.3,4.4,0.3,0.2,0.5,0.13,6.4,0.2,3.3
Baba Miller,4,24.0,16.9,5.6,1.5,0.7,2.2,2.2,1.9,3.7,5.2,,73.8,5.2,7.9,1.1,1.9,3.0,4.1,66.7,60.0,72.7,14.5,87.1,0.238,0.524,71.4,5.5,11.6,7.1,7.2,1.0,6.0,18.8,15.0,17.4,126.6,113.8,12.9,3.0,-1.4,1.6,0.1,0.1,0.2,0.09,5.1,0.1,2.2
Tyler Nickel,4,28.2,16.6,5.1,1.6,0.6,0.6,1.0,0.0,5.1,2.5,,59.1,5.7,14.0,5.1,11.2,0.0,0.6,40.9,45.7,0.0,10.5,57.9,0.795,0.045,100.0,0.0,13.8,5.7,9.5,0.9,1.7,6.3,17.2,14.1,108.6,107.0,1.6,3.3,-1.6,1.7,0.1,0.1,0.2,0.07,4.8,0.1,2.6
Henri Veesaar,7,19.6,16.5,7.6,3.2,1.1,1.6,3.9,2.1,5.5,6.0,,60.4,6.3,12.6,2.6,6.3,0.8,1.8,50.0,41.7,42.9,10.9,61.7,0.5,0.146,91.7,6.4,16.6,9.4,16.1,1.5,4.1,23.1,20.1,14.7,98.6,106.5,-7.9,-1.2,0.2,-0.9,-0.0,0.2,0.1,0.04,2.0,0.0,0.5
Boopie Miller,3,9.4,16.5,3.8,6.4,3.8,0.0,5.1,2.5,1.3,2.5,,36.7,5.1,19.1,3.8,10.2,1.3,1.3,26.7,37.5,100.0,9.5,42.1,0.533,0.067,50.0,7.3,3.9,4.8,25.8,5.2,0.0,20.6,25.6,9.8,84.0,120.0,-36.0,-5.8,-0.0,-5.9,-0.1,0.0,-0.1,-0.1,-1.8,-0.0,-0.7
Tre Donaldson,6,26.6,16.4,4.7,6.5,2.5,0.5,2.7,1.8,2.9,2.3,,53.2,6.8,14.0,1.4,4.1,0.9,2.0,48.4,33.3,44.4,14.8,55.3,0.29,0.145,33.3,5.3,8.4,5.6,29.5,3.4,1.1,15.8,19.6,18.7,109.9,112.6,-2.7,4.5,-0.5,3.9,0.1,0.1,0.2,0.06,3.3,0.2,3.3
Jaron Pierre Jr.,3,22.0,16.4,2.7,1.1,1.1,0.0,2.7,0.0,2.7,5.5,,31.1,5.5,20.2,1.6,9.3,2.7,2.7,27.0,17.6,100.0,2.2,38.3,0.459,0.135,50.0,0.0,7.5,3.0,4.4,1.5,0.0,11.3,26.8,1.2,70.4,114.5,-44.1,-9.6,-3.6,-13.2,-0.3,0.0,-0.2,-0.13,-5.4,-0.2,-4.6
Chris Cenac Jr.,4,23.3,16.2,12.3,1.5,0.4,4.2,4.6,3.9,8.5,5.0,,40.2,5.8,15.8,1.2,4.2,1.9,2.7,36.6,27.3,71.4,10.2,47.6,0.268,0.171,80.0,10.0,24.0,13.4,7.4,0.5,11.6,21.4,23.4,11.8,79.9,96.4,-16.4,-9.7,3.4,-6.3,-0.2,0.2,-0.0,-0.01,-0.8,-0.1,-2.5
Jack Kayil,3,26.4,15.9,5.0,5.0,2.7,0.0,3.2,2.3,2.7,2.3,,43.1,5.9,16.3,2.3,9.5,0.9,1.4,36.1,23.8,66.7,11.2,46.9,0.583,0.083,30.8,6.2,7.4,5.7,31.9,3.8,0.0,15.8,22.8,13.2,88.6,104.2,-15.6,-1.5,-0.5,-2.0,-0.1,0.1,-0.0,-0.01,-0.2,0.0,0.0
Donovan Atwell,4,17.6,15.8,3.6,1.5,2.0,0.0,0.0,0.0,3.6,3.6,,57.7,5.1,13.3,5.1,13.3,0.5,1.5,38.5,38.5,33.3,10.9,56.7,1.0,0.115,80.0,0.0,10.6,3.7,7.9,2.8,0.0,0.0,15.1,15.3,125.9,117.3,8.6,4.8,-1.1,3.7,0.1,0.0,0.1,0.07,3.2,0.1,2.5
Michael Ajayi,4,19.4,15.8,12.5,1.9,1.9,1.4,1.4,4.2,8.4,4.2,,61.4,5.6,10.2,1.4,4.6,1.9,3.7,54.5,30.0,50.0,16.6,66.6,0.455,0.364,75.0,13.1,24.0,15.4,9.7,2.6,3.9,10.5,15.2,21.2,125.9,107.9,18.0,2.5,3.9,6.4,0.1,0.1,0.2,0.11,5.3,0.2,4.1
Lajae Jones,7,18.1,15.7,7.4,2.0,1.1,0.9,1.1,2.6,4.8,2.8,,46.1,6.0,14.5,1.4,5.1,1.7,2.3,41.2,27.8,75.0,11.8,50.4,0.353,0.157,57.1,8.1,13.5,9.6,7.1,1.6,2.5,6.6,18.2,14.9,107.7,108.3,-0.5,0.5,-0.8,-0.4,0.1,0.1,0.2,0.07,3.0,0.0,0.7
Jaden Henley,4,11.1,15.4,9.7,1.6,3.2,0.8,5.7,1.6,8.1,5.7,,31.6,4.9,15.4,0.0,2.4,3.2,4.1,31.6,0.0,80.0,6.8,44.8,0.158,0.263,33.3,4.8,23.9,11.2,9.9,4.5,2.1,24.8,23.8,6.5,66.6,109.5,-43.0,-14.0,5.5,-8.5,-0.2,0.0,-0.2,-0.14,-3.8,-0.1,-1.8
JT Toppin,3,18.7,15.4,12.2,0.6,0.6,0.6,1.9,3.2,9.0,0.6,,35.0,4.5,12.8,0.0,2.6,3.9,4.5,35.0,0.0,85.7,12.3,52.0,0.2,0.35,71.4,9.0,27.8,14.3,3.1,0.9,1.7,9.8,19.4,11.6,97.8,105.4,-7.6,-5.1,1.6,-3.6,-0.0,0.1,0.0,0.02,0.5,-0.0,-0.5
Nimari Burnett,4,23.0,14.9,5.1,4.3,2.0,0.4,1.2,2.0,3.1,5.1,,45.3,5.1,12.5,1.2,5.5,1.6,2.4,40.6,21.4,66.7,12.2,54.8,0.438,0.188,69.2,5.6,8.3,5.9,16.3,2.7,1.2,8.0,17.3,13.7,110.4,111.7,-1.3,2.9,-1.4,1.5,0.1,0.1,0.1,0.06,3.2,0.1,2.0
Wyatt Fricks,3,5.9,14.3,12.3,2.0,0.0,0.0,2.0,8.2,4.1,2.0,,50.0,6.1,14.3,2.0,6.1,0.0,4.1,42.9,33.3,0.0,10.6,44.4,0.429,0.286,33.3,25.6,11.7,12.2,8.2,0.0,0.0,11.3,17.8,14.0,103.2,121.9,-18.7,-3.9,-4.2,-8.1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7
Tucker DeVries,3,20.3,14.2,2.4,2.4,0.0,0.0,0.0,1.2,1.2,3.0,,45.8,4.7,14.2,3.5,12.4,0.6,0.6,33.3,28.6,100.0,7.8,49.1,0.875,0.042,62.5,3.1,3.3,2.5,11.1,0.0,0.0,0.0,16.0,9.3,112.9,113.7,-0.8,2.9,-6.7,-3.9,0.0,0.0,0.1,0.05,2.0,-0.0,-0.7
Kingston Flemings,4,25.7,14.0,3.8,9.4,2.1,1.7,3.1,1.0,2.8,5.2,,36.4,4.9,15.4,1.4,4.5,1.4,2.8,31.8,30.8,50.0,10.9,42.1,0.295,0.182,35.7,3.1,8.2,4.5,36.9,2.9,4.3,16.4,21.7,12.5,94.2,106.0,-11.8,1.7,-0.2,1.5,-0.1,0.1,0.0,0.01,0.8,0.1,1.6
Kowacie Reeves Jr.,1,10.3,14.0,10.5,0.0,0.0,3.5,0.0,3.5,7.0,3.5,,33.3,3.5,10.5,0.0,7.0,7.0,7.0,33.3,0.0,100.0,13.6,51.5,0.667,0.667,0.0,10.8,19.7,13.6,0.0,0.0,7.9,0.0,14.8,18.1,128.8,119.2,9.6,2.0,0.9,2.9,0.0,0.0,0.0,0.08,0.5,0.0,0.3
Aday Mara,5,23.9,13.8,10.5,4.8,0.6,2.7,5.1,2.7,7.8,2.7,,56.2,5.4,9.6,0.0,0.6,1.5,4.2,56.2,0.0,35.7,12.1,60.3,0.062,0.438,66.7,7.9,23.8,13.4,21.7,0.9,7.6,31.1,21.6,14.1,90.2,121.1,-30.9,-4.2,2.2,-2.0,-0.2,0.0,-0.2,-0.06,-2.5,0.0,0.1
Tobi Lawal,4,19.0,13.7,7.6,0.9,0.0,1.4,0.0,1.4,6.2,3.3,,54.8,4.7,9.9,1.4,4.7,1.4,1.4,47.6,30.0,100.0,11.8,65.0,0.476,0.143,80.0,4.5,18.6,10.2,3.9,0.0,3.6,0.0,14.0,13.9,124.4,117.1,7.2,3.4,-1.3,2.1,0.1,0.0,0.1,0.06,2.8,0.1,2.0
Tarris Reed Jr.,5,24.3,13.3,13.3,2.4,0.6,0.9,3.0,5.3,8.0,5.6,,40.0,5.3,13.3,0.0,0.9,1.8,2.4,40.0,0.0,75.0,9.7,46.4,0.067,0.178,44.4,14.6,25.4,16.9,10.7,0.8,2.5,17.0,18.8,13.1,93.3,104.4,-11.1,-4.9,0.9,-4.0,-0.1,0.2,0.1,0.02,1.0,-0.1,-0.9
Isaiah Evans,3,25.2,13.3,3.8,1.0,0.5,0.5,2.4,2.4,1.4,3.3,,28.9,5.2,21.4,1.9,14.3,0.5,1.0,24.4,13.3,50.0,0.1,30.5,0.667,0.044,45.5,6.5,4.1,4.5,4.9,0.6,1.2,9.8,26.0,-0.8,68.0,126.6,-58.6,-12.5,-5.4,-17.9,-0.3,-0.0,-0.3,-0.18,-8.5,-0.3,-7.5
Josh Dix,7,22.8,13.3,4.3,2.0,0.5,0.5,1.8,0.5,3.8,3.2,,58.2,5.0,11.1,2.9,7.2,0.2,0.5,44.9,40.6,50.0,8.1,59.1,0.653,0.041,81.8,1.3,11.6,5.5,10.8,0.6,1.3,14.0,15.1,10.7,103.7,129.7,-26.0,0.8,-3.3,-2.5,0.0,-0.1,-0.1,-0.03,-1.7,-0.0,-0.2
Duke Miles,4,16.0,12.9,5.1,6.2,1.7,0.6,2.2,1.1,3.9,2.8,,50.0,5.1,12.9,2.8,9.6,0.0,0.0,39.1,29.4,,10.9,50.0,0.739,0.0,77.8,3.0,14.1,6.4,25.0,2.4,1.6,14.8,15.3,14.9,112.6,117.4,-4.8,3.9,-0.9,3.0,0.1,0.0,0.1,0.04,1.7,0.1,2.0
Ezra Ausar,2,8.3,12.9,15.1,0.0,2.2,0.0,4.3,4.3,10.8,15.1,,66.7,4.3,6.5,0.0,0.0,2.2,4.3,66.7,,50.0,7.3,77.3,0.0,0.667,50.0,12.7,30.7,19.7,0.0,2.9,0.0,32.6,14.7,11.5,89.2,104.6,-15.4,-7.2,5.2,-1.9,-0.0,0.0,0.0,0.02,-0.0,0.0,-0.2
Quadir Copeland,4,29.2,12.9,4.9,3.7,3.4,0.0,2.5,1.5,3.4,7.4,,60.0,4.0,7.7,1.2,2.2,2.2,3.4,52.0,57.1,63.6,11.3,70.4,0.28,0.44,69.2,4.6,9.9,5.9,16.9,4.7,0.0,21.1,13.1,14.9,116.8,103.0,13.8,2.1,1.1,3.1,0.1,0.2,0.3,0.1,7.4,0.1,3.7
Aaron Nkrumah,2,14.2,12.7,5.1,2.5,0.0,0.0,2.5,1.3,3.8,5.1,,62.5,5.1,10.1,2.5,7.6,0.0,0.0,50.0,33.3,,6.8,62.5,0.75,0.0,50.0,3.6,11.0,6.6,8.5,0.0,0.0,20.0,12.6,10.0,113.8,124.1,-10.3,0.7,-4.6,-3.9,0.0,-0.0,0.0,0.02,0.3,-0.0,-0.3
Kylan Boswell,4,16.4,12.6,8.2,7.7,1.1,0.0,3.3,2.2,6.0,1.6,,71.9,4.9,8.8,2.7,4.9,0.0,1.1,56.2,55.6,0.0,13.9,68.1,0.562,0.125,77.8,6.9,17.3,11.3,32.9,1.5,0.0,26.2,14.3,18.1,123.6,115.8,7.9,6.9,-0.6,6.4,0.1,0.0,0.1,0.08,3.3,0.1,3.4
AK Okereke,7,16.8,12.6,5.2,2.8,0.9,1.5,2.1,1.8,3.4,5.8,,55.6,3.7,8.3,1.8,4.3,1.8,2.5,44.4,42.9,75.0,9.8,67.2,0.519,0.296,75.0,5.9,11.0,7.2,10.1,1.3,4.5,18.6,14.9,12.8,110.9,114.2,-3.4,1.3,-1.8,-0.5,0.1,0.1,0.1,0.05,1.9,0.1,0.6
Joshua Jefferson,3,21.2,12.5,2.8,2.3,3.4,1.1,2.3,0.0,2.8,3.4,,35.7,4.0,11.9,0.6,4.5,2.8,4.0,33.3,12.5,71.4,8.3,45.7,0.381,0.333,57.1,0.0,9.2,3.8,10.2,4.7,3.6,14.2,18.3,9.8,84.6,103.2,-18.6,-4.1,1.6,-2.5,-0.1,0.1,0.0,0.0,0.1,-0.0,-0.2
Xaivian Lee,4,16.1,12.3,3.9,5.0,1.7,0.6,2.2,0.0,3.9,5.6,,35.4,4.5,13.5,0.6,5.6,1.7,1.7,33.3,10.0,100.0,7.0,43.4,0.417,0.125,50.0,0.0,11.3,4.3,21.2,2.3,1.5,13.6,18.2,8.5,88.0,112.5,-24.6,-0.9,-1.1,-2.0,-0.1,0.1,-0.0,-0.02,-0.9,0.0,0.0
Melvin Council Jr.,3,23.6,12.2,2.5,5.6,2.0,0.5,2.5,0.5,2.0,3.6,,52.4,5.1,10.7,1.0,3.0,0.5,1.0,47.6,33.3,50.0,9.9,54.8,0.286,0.095,40.0,1.3,5.6,2.9,23.2,2.8,1.4,18.6,15.1,12.4,102.2,111.9,-9.7,2.5,-2.1,0.4,-0.0,0.1,0.1,0.03,1.3,0.0,1.1
